com.samsung.shealth.insight_message,6302031,2
is_ai_generated,feedback_type,service_id,description,exposure_uri,condition_id,msg_id,update_time,create_time,is_viewed,tag,category,title,deviceuuid,pkg_name,datauuid,day_time
1,,tracker.vitality,"Your recent increase in sleep to 5 hours and 1 minute is positively impacting your health, but too much sleep can have negative effects. Aim for around 8 hours of sleep tonight to optimize cognitive function and energy levels. Continue maintaining your excellent bed/wake time consistency. Keep up the great work!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=18863__29190;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,,,2025-01-22 12:21:39.665,2025-01-22 12:21:39.665,0,18863,VS_VITALITYSCORE,Optimize Your Sleep,eyJR0JcLIT,com.sec.android.app.shealth,f879c2f1-1d4b-44ed-aed8-46ab64777181,1737504000000,
1,,tracker.vitality,"Your energy score is good today, reflecting your hard work. With 36 minutes of active time and 7 hours and 2 minutes of sleep, consider increasing your sleep duration to around 8 hours to further boost your energy. Keep up the great effort and stay motivated!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19036__29294;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,,,2025-01-27 12:45:25.087,2025-01-27 12:45:23.187,0,19036,VS_VITALITYSCORE,Keep Up the Good Work!,eyJR0JcLIT,com.sec.android.app.shealth,9e4bc8cf-8195-45f3-9827-09d1ea6cc80c,1737936000000,
1,0,tracker.vitality,"Your fair energy score suggests your body and mind need more rest today. With an average sleep time of 9 hours and 31 minutes, consider reducing your active time to allow for better recovery. Continue to maintain your recent sleeping frequency of 60bpm. Focus on balanced rest to improve your energy score tomorrow.",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19017__29280;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,score_77,score_77,2025-05-23 15:46:22.888,2025-05-23 15:46:22.888,0,19017,VS_VITALITYSCORE,Boost Your Energy,eyJR0JcLIT,com.sec.android.app.shealth,56d9a4ce-90fb-4e03-803d-4f13a204ff20,1747958400000,
1,0,tracker.vitality,"Your active time yesterday was lower than your average, which is a positive change and crucial for recovery. With an energy score of 84, consider focusing on rest and recovery today to maintain your good grade. Prioritize light activities like walking or stretching. Keep up the good work and stay balanced!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=18948__29240;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,active_time_31,active_time_31,2025-05-24 15:31:37.122,2025-05-24 12:19:30.480,0,18948,VS_VITALITYSCORE,Prioritize Recovery,eyJR0JcLIT,com.sec.android.app.shealth,53d862c1-f068-47ca-b1a0-bf9837f1a03f,1748044800000,
1,0,tracker.vitality,Your excellent energy score today suggests you're ready for a new challenge. Consider increasing the intensity of your preferred activity or sport today to maintain this high level of energy. Keep up the great work and stay active!,intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19014__29278;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,score_75,score_75,2025-05-25 16:10:12.763,2025-05-25 13:25:20.544,0,19014,VS_VITALITYSCORE,Boost Your Energy!,eyJR0JcLIT,com.sec.android.app.shealth,449c8b64-b42f-4aaa-b0ca-80131d9d0789,1748131200000,
1,0,tracker.vitality,"Your excellent sleeping heart rate variability indicates a healthy balance, positively influencing your energy score. Continue your healthy lifestyle habits to keep this balance. Consider maintaining your current average of 1 hour and 59 minutes of active time daily. Keep up the great work!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19081__29324;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,shrv_balance_58,shrv_balance_58,2025-05-26 19:29:22.708,2025-05-26 19:29:22.708,0,19081,VS_VITALITYSCORE,Maintain Your Balance,eyJR0JcLIT,com.sec.android.app.shealth,5e2d7231-fa27-4b25-8285-9217e0a2b50a,1748217600000,
1,0,tracker.vitality,Consuming alcohol or eating late at night before bed can reduce your sleep quality and affect your sleeping heart rate variability. Consider avoiding these habits to improve your sleep and feel more rested. Continue your current routine for better overall health.,intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19049__29302;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,behavior_check_before_sleep_72,behavior_check_before_sleep_72,2025-05-27 15:24:27.861,2025-05-27 15:24:27.861,0,19049,VS_VITALITYSCORE,Improve Sleep Quality,eyJR0JcLIT,com.sec.android.app.shealth,ff3fcd68-7cf0-4901-b13c-c8c0f5276c37,1748304000000,
1,0,tracker.vitality,"Consuming alcohol or late-night snacks before bed can reduce your sleep quality and affect your energy score, which is currently fair at 65. Consider avoiding these habits to improve your sleep and feel more rested. Focus on maintaining a consistent sleep schedule. Keep up the effort for better health!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19050__29302;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,behavior_check_before_sleep_72,behavior_check_before_sleep_72,2025-05-28 15:33:08.359,2025-05-28 08:58:02.579,0,19050,VS_VITALITYSCORE,Improve Sleep Quality,eyJR0JcLIT,com.sec.android.app.shealth,1a06b101-7974-4cfa-8ab8-7a6c52e33bba,1748390400000,
0,0,tracker.vitality,"You've been finding a balance between active time and rest time, which is good. Keep consistent with your rest time and take note about what habits are increasing your recovery time. You're making big strides toward improving your health!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=18949__29240;S.extra_llm_type=rule;S.tracker_id=tracker.vitality;end,active_time_31,AT-5,2025-05-29 13:31:48.229,2025-05-29 10:32:54.749,0,18949,VS_VITALITYSCORE,Time to recharge,eyJR0JcLIT,com.sec.android.app.shealth,ce7ec81f-2510-4d16-b369-727524b33474,1748476800000,
0,0,tracker.vitality,"The time at which you've been falling asleep has helped you maintain optimal health. Sustaining good sleep patterns can significantly impact your health, lowering risk factors for conditions like heart disease, diabetes, and obesity.",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=24763__36622;S.extra_llm_type=rule;S.tracker_id=tracker.vitality;end,sleep_timing_23,SO-8,2025-07-06 14:06:27.243,2025-07-06 14:06:27.243,0,24763,VS_VITALITYSCORE,Bedtime perfection,eyJR0JcLIT,com.sec.android.app.shealth,7f4e5240-1ba4-4a68-8ecf-35e9639933e5,1751760000000,
